	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
OTU_80	1901	1832	1243	1515	2985	1629	600	100	988	585	3647	1406	1589	1825	1853	653	1270	3209	3545	240	398	2648	2478	377	2756	825
OTU_81	2186	1096	736	1689	2081	1653	1811	954	540	152	1520	2993	451	155	1783	1291	1986	3481	1849	1458	972	2193	75	925	1219	2694
OTU_82	680	1105	373	1428	488	1355	1672	1176	3024	783	2278	834	267	264	434	2580	2449	2548	3067	1245	421	2936	2076	1282	3188	2598
OTU_83	873	3163	858	3235	2444	2034	2967	3481	577	1895	2771	3130	2289	2860	1132	2854	3216	1642	2605	3423	2830	264	411	641	262	2577
OTU_84	1319	612	2063	705	2119	2894	1413	747	1900	2148	2003	2485	26	1266	2459	2265	1555	792	3245	2058	974	2100	821	2262	547	1774
OTU_85	1209	2011	1631	2358	217	2487	295	1845	3278	2787	1145	61	3441	73	431	2484	615	1964	1277	3198	2570	2953	1331	3295	3004	2632
OTU_86	2841	2089	3473	1044	2094	551	653	1450	2078	1777	3392	1050	2935	1100	3223	1433	1456	3338	231	3420	1740	2905	746	2421	1662	2991
OTU_87	1265	1745	987	481	1683	3421	2401	2816	1020	1403	1475	486	870	3017	3307	3242	276	596	391	3202	2066	1018	152	1710	813	2733
OTU_88	3049	2506	2248	2085	2210	1287	3229	2969	8	2988	2898	233	2506	2660	233	259	722	406	2214	909	1429	2348	592	1727	2391	524
OTU_89	556	2924	2408	2322	2715	3324	1458	536	658	3047	104	1910	1568	1110	303	2065	635	3078	1564	1822	3016	679	1601	2568	596	308
OTU_90	2343	2448	3124	2736	873	760	314	87	1443	2045	800	2537	378	405	1769	1614	78	792	3463	1341	1713	2648	1763	1966	488	2598
OTU_91	1372	2414	2598	384	512	1076	2996	1885	2853	373	3609	997	2552	150	2579	3187	3183	1020	3270	1351	1751	3259	1165	1717	2270	2699
OTU_92	83	2520	1777	289	986	49	3171	1151	1086	952	1534	2649	1348	550	2208	3203	2010	614	1298	2479	2613	268	2714	27	1817	1288
OTU_93	1079	1451	2613	1464	155	2602	1434	2418	2549	2962	3367	1130	2619	962	76	2049	1602	2002	1338	950	900	1989	1325	2714	240	521
OTU_94	130	1941	2698	1953	2543	3228	400	2737	2241	2017	2599	487	2374	3488	3038	2752	3358	2038	1233	938	1152	1939	66	56	1533	2846
OTU_95	2391	1981	1218	1824	2945	1195	828	838	2814	2370	2331	2754	304	899	1368	2658	878	482	3299	576	1164	2856	3640	2769	500	2208
OTU_96	2699	2643	2265	1390	1102	1701	273	734	1526	425	2912	2468	2242	2222	3130	1286	2340	1776	2665	1903	709	149	1234	1167	1046	1369
OTU_97	2456	685	3047	2029	1584	2202	1202	2071	1378	1071	3350	958	3205	2312	48	2038	2913	1792	380	1257	1978	843	1424	115	2714	1899
OTU_98	800	2321	1384	3252	2944	2779	2132	2791	2583	2736	3035	373	3001	647	470	1637	2553	2820	2490	720	1192	1700	2647	2064	514	2164
OTU_99	1027	1015	1653	3278	3090	1542	1758	2963	3285	248	1136	188	2789	2238	1650	231	3503	1679	288	954	2305	1959	773	127	1255	1900
