	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
OTU_29	1829	311	743	873	1678	458	495	1113	1255	1432	1511	1796	1420	1344	1432	359	1027	754	970	1411	1702	1746	2104	1747	1322	442
OTU_30	1339	1322	440	1666	992	1752	1570	769	226	711	495	598	1849	1380	1522	179	848	1120	54	1428	1750	1692	131	1334	953	1333
OTU_31	544	1278	448	1310	1021	1524	61	1225	1746	1456	195	1137	2011	301	1072	1911	1496	314	362	1156	1736	1168	1553	675	1554	22
OTU_32	495	1249	851	1694	300	222	649	257	400	1386	1473	595	1988	472	1047	1045	1024	848	266	981	882	477	374	1609	1327	1249
OTU_33	1618	504	573	979	354	58	2013	6	73	1157	1203	994	2004	1860	726	845	1064	272	1746	721	248	846	1000	1049	1396	1125
OTU_34	594	1609	74	371	1852	535	1589	225	499	46	30	1359	557	1291	1494	707	1609	1886	538	566	1334	355	486	1349	329	1310
OTU_35	1346	1800	1081	415	726	866	1947	1909	1204	284	1379	909	861	973	711	1777	880	1756	643	165	906	324	640	709	1940	1219
OTU_36	954	1075	46	97	1472	50	1105	202	1923	1510	1983	810	26	1174	302	1663	1007	1207	1619	1112	193	1855	1516	597	307	1647
OTU_37	423	417	581	952	948	333	1339	1411	630	1110	708	220	1880	1550	159	658	427	1525	1187	126	105	303	775	1073	975	476
OTU_38	940	685	1860	950	585	1377	2012	156	1164	1426	871	1203	368	713	1471	74	471	1253	1379	813	1855	370	28	1063	315	1259
OTU_39	1864	275	1868	1283	1088	1338	1065	1274	211	1375	1205	382	115	1791	1648	1420	538	644	5	249	1264	1318	1066	851	1514	1638
OTU_40	960	1833	1789	1597	1228	1769	1337	258	242	464	1319	1602	336	1358	448	1104	1558	958	2014	265	1330	299	657	84	1966	1200
OTU_41	1715	876	232	134	1569	181	525	1521	150	353	927	1861	441	1937	1249	790	477	1797	1321	1163	857	771	454	943	1444	1378
OTU_42	1573	1664	1874	295	276	779	1637	911	785	1674	387	1181	1498	1407	688	1438	1777	1840	168	1371	1420	1823	1872	1507	221	653
OTU_43	313	289	705	1441	1126	68	2117	985	1083	1018	371	1339	1545	219	1459	512	1518	949	1480	709	1829	1208	801	1634	622	765
OTU_44	568	813	1226	1671	1091	1201	1684	2001	1113	99	1335	1406	471	1668	1273	985	2065	68	1452	1724	1637	1418	2107	888	967	685
OTU_45	134	1156	1938	417	962	1173	175	999	999	1549	1829	246	282	1441	539	529	1002	1036	1697	1498	1702	894	935	686	748	1379
OTU_46	1111	1294	581	243	1656	571	2093	158	564	54	592	934	826	583	1828	1999	355	474	187	326	1104	602	1486	71	1413	1336
OTU_47	874	275	800	677	905	163	1	1913	2	605	1239	1395	1598	758	682	1787	245	972	73	1533	539	1274	1203	1797	928	767
OTU_48	746	1840	1957	219	1624	247	313	273	872	1318	1134	1773	889	100	1082	222	370	1786	1129	535	775	1310	1245	1090	1927	79
OTU_49	1298	759	529	1612	719	1557	2158	194	461	995	1654	1784	1608	1806	848	728	516	1064	1986	432	960	964	355	1795	1752	1096
OTU_50	1669	1509	840	1692	1375	470	280	918	194	133	661	1566	1756	915	421	389	909	1857	919	1796	482	345	111	1403	911	1686
OTU_51	243	84	367	967	629	1680	1106	180	1171	177	284	1308	1843	1747	1306	1382	1541	713	89	964	136	1740	2110	943	1854	669
OTU_52	1391	555	1863	173	1709	363	629	2012	1402	1210	598	575	95	1429	1694	488	1400	270	1028	1089	510	1137	726	1645	1905	966
OTU_53	1422	366	65	1731	1213	223	1612	987	1906	987	1147	1722	475	1679	825	379	287	483	1719	245	1026	618	2115	1823	902	709
OTU_54	256	1602	769	546	1341	1434	1830	743	1370	1354	111	322	64	1036	728	884	1413	1083	2002	655	556	911	1663	56	1334	979
OTU_55	1828	616	515	1865	189	1206	82	1022	1783	948	1289	924	205	1395	1003	486	1965	1329	721	1515	1291	1465	1785	706	1028	709
OTU_56	162	960	187	1390	600	553	985	866	1800	1383	742	1813	1927	199	499	1420	479	773	335	119	946	581	1950	595	53	367
OTU_57	1493	547	118	1443	181	1247	1016	1727	179	1767	990	122	55	14	311	1398	720	1128	1754	728	1614	1321	287	1470	624	233
OTU_58	461	204	1528	1716	1301	839	725	1008	386	653	1328	1689	862	371	1867	1547	676	972	517	143	660	956	1400	404	636	1214
OTU_59	1278	1483	794	761	1531	816	1901	1730	1874	1724	1236	1909	1296	185	171	754	1006	1428	1165	1604	1025	472	1222	1792	1115	734
OTU_60	1674	82	926	1328	679	639	917	1026	144	678	119	1776	1131	106	102	1014	531	1964	217	1897	271	254	475	1688	1017	1286
OTU_61	533	12	58	852	1220	57	54	1786	753	1626	1286	737	180	435	1645	1161	465	244	477	267	62	1653	507	1157	1427	802
OTU_62	1785	723	959	1555	1158	214	416	599	1834	1071	673	91	282	1383	706	1100	1300	1171	1726	654	1237	1554	282	1580	147	872
OTU_63	1304	1112	1593	1117	1370	1249	416	315	255	168	412	1789	1116	647	1744	288	272	950	214	960	3	745	675	522	1109	1145
OTU_64	392	656	1042	1566	341	1068	531	1174	547	1065	104	953	563	992	1022	937	854	1029	565	327	558	1247	1228	725	68	90
OTU_65	946	1637	1772	1452	955	1312	598	1041	1553	986	1232	1356	740	286	1532	1088	1786	1586	1842	2126	408	1247	1490	1185	220	1053
OTU_66	25	588	824	1809	983	338	1550	298	1733	373	1343	1603	1649	782	1090	1776	595	898	882	1435	480	1446	306	65	1844	558
OTU_67	434	1489	132	860	1237	815	1459	577	681	1041	1557	1765	39	1989	1128	1689	88	623	353	1366	550	68	638	1389	16	1080
OTU_68	1438	1474	1451	1769	1457	665	190	1696	927	438	1821	1041	1964	1713	1968	1401	239	5	1687	731	1265	507	1723	30	177	369
OTU_69	1094	1596	483	1554	1758	411	427	1352	1374	1577	1955	1878	938	1311	105	343	333	758	1097	749	1284	1714	881	1663	1706	1505
OTU_70	1889	1108	1168	1584	868	1927	265	1584	912	1064	495	542	165	414	1353	693	1015	1579	1421	407	1392	89	968	1638	1211	1734
OTU_71	993	473	1210	805	1375	1290	1527	1719	963	194	1379	1695	351	1164	8	1479	1217	589	253	1844	1669	949	935	1519	1293	1357
OTU_72	700	495	1517	942	884	1833	1218	127	1723	599	879	289	650	1164	1706	1251	470	1244	35	161	1182	344	712	646	1099	1290
OTU_73	1663	1347	958	134	1402	1051	1397	12	1200	812	698	1829	529	932	484	1017	1482	1293	61	1120	1503	1274	1675	226	1925	1705
OTU_74	158	1362	366	124	1740	143	533	893	1846	909	264	154	837	876	1576	762	1200	2021	20	2138	702	1347	2040	1338	1120	451
OTU_75	911	1314	928	1841	1365	196	908	104	1832	1782	923	257	1005	103	1761	624	968	1298	352	1111	1817	701	998	1798	328	1118
OTU_76	929	1928	1820	1533	440	1489	616	1804	483	788	12	1747	1452	476	11	548	573	842	997	1143	863	1683	1736	1786	1112	1396
OTU_77	1632	1065	118	553	548	1283	1649	1542	1252	1430	866	1881	1067	1806	57	88	537	1708	1343	2	209	875	2025	1474	1005	1685
OTU_78	1796	368	1650	564	1800	518	1411	761	1057	1616	397	387	1993	1265	203	2011	641	1161	554	62	1177	657	1889	1029	1081	648
OTU_79	1662	1651	1976	501	1471	1555	20	1358	545	1887	834	1343	249	261	896	193	760	143	187	1845	1555	1405	1234	1162	1857	1443
OTU_80	1088	1074	746	891	1713	945	332	59	596	334	2103	801	923	1036	1072	344	713	1824	1985	152	227	1556	1361	230	1538	485
OTU_81	1281	601	417	984	1148	951	1017	523	305	94	856	1736	248	103	1028	768	1135	1972	1052	841	569	1250	42	521	691	1528
OTU_82	372	636	203	839	274	771	926	673	1701	482	1288	492	133	144	240	1446	1438	1484	1697	715	264	1640	1194	710	1810	1484
OTU_83	488	1845	500	1827	1401	1172	1741	2011	329	1100	1541	1808	1294	1695	630	1606	1876	959	1462	1958	1630	160	258	372	159	1446
OTU_84	787	353	1159	399	1272	1604	800	420	1093	1247	1146	1437	11	738	1390	1321	899	448	1814	1231	565	1219	471	1288	306	1000
OTU_85	689	1154	889	1369	124	1395	165	1075	1902	1635	649	41	2016	37	234	1429	353	1158	708	1796	1482	1694	764	1871	1696	1510
OTU_86	1608	1199	1875	611	1197	324	360	816	1196	981	1955	608	1749	618	1820	818	861	1928	127	2000	967	1648	462	1405	947	1680
OTU_87	698	1048	564	261	957	1943	1416	1608	603	793	850	272	505	1667	1885	1850	159	376	217	1897	1168	605	95	972	467	1570
OTU_88	1775	1398	1316	1218	1266	718	1915	1751	4	1702	1687	138	1453	1543	142	149	440	232	1222	528	782	1350	367	989	1335	319
OTU_89	291	1695	1377	1341	1576	1906	853	285	386	1723	65	1065	920	639	170	1193	340	1778	885	1031	1794	418	939	1413	334	189
OTU_90	1328	1458	1796	1587	496	439	171	56	868	1212	441	1413	215	243	1043	916	48	457	1987	766	1003	1525	1012	1131	291	1472
OTU_91	758	1344	1465	223	306	618	1685	1077	1633	238	2068	570	1490	90	1513	1786	1854	570	1870	736	995	1824	678	964	1324	1569
OTU_92	53	1445	989	167	536	32	1788	669	620	510	892	1517	795	296	1310	1860	1165	365	750	1444	1496	152	1576	13	1059	792
OTU_93	614	830	1532	817	81	1498	823	1368	1470	1715	1928	629	1498	517	37	1162	955	1167	790	549	499	1173	784	1545	120	290
OTU_94	88	1126	1561	1120	1455	1833	229	1524	1270	1127	1483	270	1384	2001	1753	1578	1837	1231	722	528	692	1168	36	32	896	1626
OTU_95	1421	1177	707	1040	1707	678	494	469	1622	1383	1335	1567	169	555	740	1558	510	288	1877	352	673	1650	2067	1618	285	1230
OTU_96	1567	1516	1272	794	666	966	151	422	874	242	1653	1451	1268	1249	1762	751	1361	1011	1582	1086	402	79	716	680	630	790
OTU_97	1397	405	1728	1124	925	1221	637	1130	812	610	1895	547	1849	1291	27	1159	1707	1038	240	705	1134	503	837	68	1527	1064
OTU_98	465	1284	813	1884	1725	1583	1188	1659	1481	1513	1723	213	1770	382	282	962	1423	1598	1401	412	687	1030	1534	1185	284	1275
OTU_99	564	584	935	1861	1741	879	992	1690	1865	145	639	113	1629	1298	934	127	1998	974	164	545	1361	1168	408	74	732	1057
